번호,가맹점명,승인일시,승인금액,할부,카드사,승인번호,구분,TID
1,가을다방,2025-12-26 12:45:29,"12,000",일시불,07,00231861,승인,1047388121
2,토브,2025-12-26 12:41:12,"960,000",5개월,08,48877159,승인,1047367468
3,올빼미카워시,2025-12-26 12:21:34,"55,000",일시불,02,30008415,승인,1047363400
4,올빼미카워시,2025-12-26 11:15:16,"77,000",일시불,02,30015374,승인,1047363400
5,라온호텔호남뷔페,2025-12-26 09:00:16,"36,000",일시불,01,39967955,승인,1047401852
6,귀한족발가락시장점,2025-12-26 08:41:08,"80,000",일시불,12,58227805,승인,1047365675
7,럭셔리스카이(즉),2025-12-26 04:02:16,"330,000",3개월,02,30088157,승인,1047407409
8,럭셔리스카이(즉),2025-12-26 03:04:08,"850,000",3개월,02,30088146,승인,1047407409
9,거부기,2025-12-26 02:42:15,"1,230,000",일시불,03,33500009,승인,1047380960
10,희황제(즉),2025-12-26 02:34:10,"88,000",일시불,06,00318159,승인,1047411042
11,스위트(즉),2025-12-26 02:21:09,"50,000",일시불,02,30007748,승인,1047406366
12,퀸(즉),2025-12-26 02:12:08,"410,000",일시불,02,30007293,승인,1047401442
13,골탕,2025-12-26 01:58:07,"61,000",일시불,01,39229340,승인,1047385085
14,골탕,2025-12-26 01:49:12,"50,000",일시불,01,39222911,승인,1047385085
15,희황제(즉),2025-12-26 01:16:13,"88,000",일시불,06,49628251,승인,1047411042
16,골탕,2025-12-25 23:48:12,"84,000",일시불,06,49137583,승인,1047385085
17,퀸(즉),2025-12-25 23:12:08,"150,000",일시불,01,38758630,승인,1047401442
18,귀한족발가락시장점,2025-12-25 23:05:10,"45,000",일시불,02,30028591,승인,1047365675
19,퀸(즉),2025-12-25 22:51:14,"150,000",일시불,01,38688874,승인,1047401442
20,가을다방,2025-12-25 22:32:11,"9,500",일시불,02,30024474,승인,1047388121
21,토마토,2025-12-25 22:21:08,"68,000",일시불,02,30135159,승인,1047375474
22,가을다방,2025-12-25 21:07:16,"11,000",일시불,13,38267127,승인,1047388121
23,퀸(즉),2025-12-25 20:45:13,"600,000",일시불,13,38160266,승인,1047401442
24,나인(송파),2025-12-25 20:43:10,"4,440,000",5개월,04,86896818,승인,1047369914
25,나인(송파),2025-12-25 20:42:09,"2,220,000",5개월,06,47780949,승인,1047369914
26,골탕,2025-12-25 20:40:17,"63,000",일시불,01,38134689,승인,1047385085
27,용형,2025-12-25 20:18:25,"4,000,000",5개월,01,38040035,승인,WNO1755594646
28,아더킹(즉),2025-12-25 20:04:17,"500,000",일시불,15,85681039,승인,1047367469
29,시앤유,2025-12-25 19:02:20,"1,000,000",12개월,03,93441964,승인,WNO1754986085
30,토브,2025-12-25 18:54:11,"970,000",10개월,04,84361604,승인,1047367468
31,아더킹(즉),2025-12-25 18:32:18,"120,000",일시불,15,82281021,승인,1047367469
32,아더킹(즉),2025-12-25 18:28:14,"380,000",일시불,15,83161019,승인,1047367469
33,시앤유,2025-12-25 18:07:21,"3,000,000",일시불,27,24485507,승인,WNO1754986085
34,시앤유,2025-12-25 18:07:07,"3,000,000",일시불,27,23485507,승인,WNO1754986085
35,렛츠고강화캠핑,2025-12-25 18:04:10,"28,000",일시불,08,38125068,승인,1047369573
36,시앤유,2025-12-25 18:01:51,"5,000,000",일시불,01,37134579,승인,WNO1754986085
37,공간포차,2025-12-25 17:51:15,"730,000",6개월,07,00841897,승인,1047407276
38,신나라콜라텍1,2025-12-25 17:35:39,"4,000",일시불,12,55005740,승인,1047334507
39,신나라콜라텍1,2025-12-25 17:14:44,"18,000",일시불,05,28885603,승인,1047334507
40,올빼미카워시,2025-12-25 17:12:16,"77,000",일시불,04,78826785,승인,1047363400
41,시앤유,2025-12-25 17:03:21,"2,000,000",12개월,03,74094297,승인,WNO1754986085
42,가을다방,2025-12-25 16:42:08,"10,000",일시불,02,20057701,승인,1047388121
43,신나라콜라텍1,2025-12-25 16:35:24,"4,000",일시불,07,30010622,승인,1047334507
44,신나라콜라텍1,2025-12-25 16:13:54,"7,000",일시불,12,54118532,승인,1047334507
45,귀한족발가락시장점,2025-12-25 16:06:13,"56,000",일시불,12,54013566,승인,1047365675
46,신나라콜라텍1,2025-12-25 16:04:18,"3,000",일시불,05,32792585,승인,1047334507
47,신나라콜라텍1,2025-12-25 15:57:05,"8,000",일시불,01,36030156,승인,1047334507
48,신나라콜라텍1,2025-12-25 15:52:26,"3,000",일시불,01,36006326,승인,1047334507
49,신나라콜라텍1,2025-12-25 15:49:46,"7,000",일시불,01,35988819,승인,1047334507
50,신나라콜라텍1,2025-12-25 15:49:14,"13,000",일시불,01,35987201,승인,1047334507
51,신나라콜라텍1,2025-12-25 15:48:15,"13,000",일시불,01,35984429,승인,1047334507
52,신나라콜라텍1,2025-12-25 15:47:14,"21,000",일시불,01,35981504,승인,1047334507
53,신나라콜라텍1,2025-12-25 15:45:24,"2,000",일시불,07,30016331,승인,1047334507
54,신나라콜라텍1,2025-12-25 15:43:57,"27,000",일시불,07,30016320,승인,1047334507
55,신나라콜라텍1,2025-12-25 15:26:28,"23,000",일시불,03,88671133,승인,1047334507
56,신나라콜라텍1,2025-12-25 15:24:11,"14,000",일시불,01,35836859,승인,1047334507
57,신나라콜라텍1,2025-12-25 15:22:51,"1,000",일시불,01,35842015,승인,1047334507
58,착한설비(즉),2025-12-25 15:22:08,"660,000",일시불,07,00464317,승인,WRT1762241095
59,신나라콜라텍1,2025-12-25 15:19:18,"24,000",일시불,01,35812775,승인,1047334507
60,가을다방,2025-12-25 15:09:13,"22,500",일시불,02,26233521,승인,1047388121
61,신나라콜라텍1,2025-12-25 15:08:12,"13,000",일시불,02,43375999,승인,1047334507
62,신나라콜라텍1,2025-12-25 15:07:36,"13,000",일시불,07,30042594,승인,1047334507
63,가을다방,2025-12-25 15:03:14,"12,000",일시불,12,53307135,승인,1047388121
64,신나라콜라텍1,2025-12-25 15:02:01,"18,000",일시불,07,30056605,승인,1047334507
65,신나라콜라텍1,2025-12-25 15:01:37,"16,000",일시불,31,84052052,승인,1047334507
66,신나라콜라텍1,2025-12-25 15:00:29,"19,000",일시불,07,30010611,승인,1047334507
67,신나라콜라텍1,2025-12-25 14:58:04,"13,000",일시불,07,30035786,승인,1047334507
68,신나라콜라텍1,2025-12-25 14:57:10,"37,000",일시불,02,43221085,승인,1047334507
69,가을다방,2025-12-25 14:56:07,"5,000",일시불,12,53224575,승인,1047388121
